"","test","order","auc","SumsOfSqs","MeanSqs","F.model","R2","Pval","N.taxa","F.model.scale"
"73","auc73",73,73,1.09825914181202,1.09825914181202,2.05555594565057,0.0188487044775141,0.004,1040,0.262161383463739
"74","auc74",74,74,1.09867183499664,1.09867183499664,2.04751591642991,0.0187763645895341,0.004,1071,0.249757999398334
"75","auc75",75,75,1.09900880501337,1.09900880501337,2.04100193732715,0.0187177474625577,0.004,1103,0.239708858731294
"76","auc76",76,76,1.09700553098965,1.09700553098965,2.0279592585628,0.0186003596907968,0.004,1136,0.219587867934364
"77","auc77",77,77,1.0987189366215,1.0987189366215,2.0228353837736,0.0185542356943201,0.004,1170,0.211683246549372
"78","auc78",78,78,1.11474684159977,1.11474684159977,2.03250228968721,0.0186412514342473,0.004,1206,0.226596419559061
"79","auc79",79,79,1.12140242362308,1.12140242362308,2.03312623576255,0.0186468672957824,0.004,1242,0.227558983574215
"80","auc80",80,80,1.17739042478417,1.17739042478417,2.09898044106146,0.0192392305828687,0.002,1279,0.329152519894398
"81","auc81",81,81,1.17658801810798,1.17658801810798,2.09056664836504,0.0191635877656006,0.002,1318,0.316172529474435
"82","auc82",82,82,1.17600480425575,1.17600480425575,2.08334949087652,0.0190986938024924,0.002,1358,0.305038592801586
"83","auc83",83,83,1.17735126859806,1.17735126859806,2.07725876623562,0.0190439216178637,0.002,1399,0.295642408424105
"84","auc84",84,84,1.17002360140446,1.17002360140446,2.05337543787052,0.018829086487473,0.001,1442,0.258797505707668
"85","auc85",85,85,1.16985384902153,1.16985384902153,2.04095510564175,0.0187173260144725,0.002,1487,0.239636611309737
"86","auc86",86,86,1.1767509029088,1.1767509029088,2.04593474840171,0.018762136829055,0.001,1534,0.247318725387328
"87","auc87",87,87,1.16483146306518,1.16483146306518,2.0068782296574,0.0184105651152515,0.001,1583,0.187066083394603
"88","auc88",88,88,1.16335780413296,1.16335780413296,1.99833741407773,0.0183336504160259,0.001,1636,0.17389013428311
"89","auc89",89,89,1.16517106042109,1.16517106042109,1.98868678307199,0.018246726717886,0.001,1691,0.159002068636505
"90","auc90",90,90,1.16928152281184,1.16928152281184,1.99015926099491,0.018259990392611,0.001,1750,0.161273666003201
"91","auc91",91,91,1.17086424877211,1.17086424877211,1.98517410736171,0.0182150840572692,0.001,1812,0.153583050280234
"92","auc92",92,92,1.17164740606268,1.17164740606268,1.97739296863311,0.0181449832370486,0.001,1878,0.141579057574698
"93","auc93",93,93,1.18414031491718,1.18414031491718,1.97927086840892,0.0181619022832229,0.001,1950,0.144476100796367
"94","auc94",94,94,1.18624736775278,1.18624736775278,1.97397077982463,0.0181141493303288,0.001,2028,0.136299633710559
"95","auc95",95,95,1.187933150858,1.187933150858,1.96354427981553,0.0180201946696337,0.001,2115,0.120214631962242
"96","auc96",96,96,1.19720917489317,1.19720917489317,1.95665791653689,0.0179581308196488,0.001,2212,0.109591012791892
"97","auc97",97,97,1.20454055507972,1.20454055507972,1.95703263598047,0.0179615082077245,0.001,2323,0.110169093921692
"98","auc98",98,98,1.20454709608941,1.20454709608941,1.92730747231286,0.01769351980726,0.001,2456,0.0643119693693321
"99","auc99",99,99,1.22419010644621,1.22419010644621,1.93325724987223,0.0177471719718956,0.001,2631,0.0734907141409217
"100","auc100",100,100,1.24956045112694,1.24956045112694,1.88561964661618,0.0173174350546554,0.001,2996,0
