"","test","order","auc","SumsOfSqs","MeanSqs","F.model","R2","Pval","N.taxa","F.model.scale"
"73","auc73",73,73,1.19404585169263,1.19404585169263,1.97030287205948,0.0180810993466063,0.001,2092,0.258166069287809
"74","auc74",74,74,1.19699827284771,1.19699827284771,1.97091321849217,0.0180865990775024,0.001,2122,0.260026777103389
"75","auc75",75,75,1.19570478802395,1.19570478802395,1.96458740948829,0.0180295952675468,0.001,2153,0.240741856895794
"76","auc76",76,76,1.19230842772194,1.19230842772194,1.94919230813875,0.0178908376174639,0.001,2184,0.193808207629452
"77","auc77",77,77,1.19371240325305,1.19371240325305,1.94393044792873,0.0178434029315462,0.001,2215,0.177766851617653
"78","auc78",78,78,1.19416189600159,1.19416189600159,1.94259760500998,0.017831386874519,0.001,2246,0.173703534289909
"79","auc79",79,79,1.19464812026813,1.19464812026813,1.93437028881147,0.0177572081582974,0.001,2277,0.148621661550202
"80","auc80",80,80,1.19923877889357,1.19923877889357,1.93773117658823,0.0177875117799834,0.001,2308,0.158867695308374
"81","auc81",81,81,1.2009840095857,1.2009840095857,1.93218080445101,0.0177374655513374,0.001,2340,0.141946779149956
"82","auc82",82,82,1.20245437644287,1.20245437644287,1.92956843155809,0.0177139087149736,0.001,2372,0.133982674833563
"83","auc83",83,83,1.20342259118381,1.20342259118381,1.9238881238202,0.0176626831538845,0.001,2403,0.116665635793563
"84","auc84",84,84,1.21512553947651,1.21512553947651,1.93791648069013,0.017789182529791,0.001,2435,0.159432615118178
"85","auc85",85,85,1.21952831642364,1.21952831642364,1.93600067346686,0.0177719088409532,0.001,2468,0.153592067385683
"86","auc86",86,86,1.22010867117543,1.22010867117543,1.93534777695342,0.0177660219244544,0.001,2500,0.151601640997862
"87","auc87",87,87,1.22295389803701,1.22295389803701,1.9292088323186,0.0177106659728737,0.001,2533,0.132886397245035
"88","auc88",88,88,1.22490897592765,1.22490897592765,1.92988742814953,0.0177167852984562,0.001,2565,0.13495517081135
"89","auc89",89,89,1.22477895845684,1.22477895845684,1.92547373956613,0.0176769829266001,0.001,2598,0.121499558714956
"90","auc90",90,90,1.22354158878387,1.22354158878387,1.91909588624704,0.0176194621395986,0.001,2632,0.10205597572359
"91","auc91",91,91,1.22402590804997,1.22402590804997,1.91525245206156,0.0175847955997214,0.001,2666,0.090338846492407
"92","auc92",92,92,1.22649955707547,1.22649955707547,1.90812436413861,0.0175204960628898,0.001,2700,0.0686080913047824
"93","auc93",93,93,1.22692078531379,1.22692078531379,1.90514323932699,0.0174936020711189,0.001,2734,0.059519806456822
"94","auc94",94,94,1.22886205751747,1.22886205751747,1.9051556362092,0.0174937139117018,0.001,2769,0.0595575997073257
"95","auc95",95,95,1.22917444759267,1.22917444759267,1.9012955635055,0.0174588883783918,0.001,2804,0.0477897461346434
"96","auc96",96,96,1.23155955960512,1.23155955960512,1.90138933339554,0.0174597343985625,0.001,2840,0.048075613894178
"97","auc97",97,97,1.2291412757119,1.2291412757119,1.89180543764779,0.0173732580706548,0.001,2876,0.0188580601140939
"98","auc98",98,98,1.23689699584993,1.23689699584993,1.8888701216871,0.0173467694134049,0.001,2913,0.00990942855547444
"99","auc99",99,99,1.24464540652425,1.24464540652425,1.89425816494741,0.0173953906924834,0.001,2952,0.026335467388849
"100","auc100",100,100,1.24956045112694,1.24956045112694,1.88561964661618,0.0173174350546554,0.001,2996,0
